Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_0,1n4148 sod-323,D_SOD-323_HandSoldering,80.684200,-118.534120,90.000000,bottom
D_1,1n4148 sod-323,D_SOD-323_HandSoldering,99.734200,-118.534120,90.000000,bottom
D_2,1n4148 sod-323,D_SOD-323_HandSoldering,118.784200,-118.534120,90.000000,bottom
D_3,1n4148 sod-323,D_SOD-323_HandSoldering,137.834200,-118.534120,90.000000,bottom
D_4,1n4148 sod-323,D_SOD-323_HandSoldering,156.884200,-118.534120,90.000000,bottom
D_5,1n4148 sod-323,D_SOD-323_HandSoldering,175.934200,-118.534120,90.000000,bottom
D_6,1n4148 sod-323,D_SOD-323_HandSoldering,194.984200,-118.534120,90.000000,bottom
D_7,1n4148 sod-323,D_SOD-323_HandSoldering,214.034200,-118.534120,90.000000,bottom
D_8,1n4148 sod-323,D_SOD-323_HandSoldering,233.084200,-118.534120,90.000000,bottom
D_9,1n4148 sod-323,D_SOD-323_HandSoldering,252.134200,-118.534120,90.000000,bottom
D_10,1n4148 sod-323,D_SOD-323_HandSoldering,271.184200,-118.534120,90.000000,bottom
D_11,1n4148 sod-323,D_SOD-323_HandSoldering,290.234200,-118.534120,90.000000,bottom
D_12,1n4148 sod-323,D_SOD-323_HandSoldering,309.284200,-118.534120,90.000000,bottom
D_13,1n4148 sod-323,D_SOD-323_HandSoldering,347.384200,-118.534120,90.000000,bottom
D_14,1n4148 sod-323,D_SOD-323_HandSoldering,90.359200,-137.634120,90.000000,bottom
D_15,1n4148 sod-323,D_SOD-323_HandSoldering,109.409200,-137.634120,90.000000,bottom
D_16,1n4148 sod-323,D_SOD-323_HandSoldering,128.459200,-137.634120,90.000000,bottom
D_17,1n4148 sod-323,D_SOD-323_HandSoldering,147.509200,-137.634120,90.000000,bottom
D_18,1n4148 sod-323,D_SOD-323_HandSoldering,166.559200,-137.634120,90.000000,bottom
D_19,1n4148 sod-323,D_SOD-323_HandSoldering,185.609200,-137.634120,90.000000,bottom
D_20,1n4148 sod-323,D_SOD-323_HandSoldering,204.659200,-137.634120,90.000000,bottom
D_21,1n4148 sod-323,D_SOD-323_HandSoldering,223.709200,-137.634120,90.000000,bottom
D_22,1n4148 sod-323,D_SOD-323_HandSoldering,242.759200,-137.634120,90.000000,bottom
D_23,1n4148 sod-323,D_SOD-323_HandSoldering,261.809200,-137.634120,90.000000,bottom
D_24,1n4148 sod-323,D_SOD-323_HandSoldering,280.859200,-137.634120,90.000000,bottom
D_25,1n4148 sod-323,D_SOD-323_HandSoldering,299.909200,-137.634120,90.000000,bottom
D_26,1n4148 sod-323,D_SOD-323_HandSoldering,318.959200,-137.634120,90.000000,bottom
D_27,1n4148 sod-323,D_SOD-323_HandSoldering,321.489000,-137.634000,90.000000,bottom
D_28,1n4148 sod-323,D_SOD-323_HandSoldering,85.646700,-156.609120,90.000000,bottom
D_29,1n4148 sod-323,D_SOD-323_HandSoldering,114.221700,-156.609120,90.000000,bottom
D_30,1n4148 sod-323,D_SOD-323_HandSoldering,133.271700,-156.609120,90.000000,bottom
D_31,1n4148 sod-323,D_SOD-323_HandSoldering,152.321700,-156.609120,90.000000,bottom
D_32,1n4148 sod-323,D_SOD-323_HandSoldering,171.371700,-156.609120,90.000000,bottom
D_33,1n4148 sod-323,D_SOD-323_HandSoldering,190.421700,-156.609120,90.000000,bottom
D_34,1n4148 sod-323,D_SOD-323_HandSoldering,209.471700,-156.609120,90.000000,bottom
D_35,1n4148 sod-323,D_SOD-323_HandSoldering,228.521700,-156.609120,90.000000,bottom
D_36,1n4148 sod-323,D_SOD-323_HandSoldering,247.571700,-156.609120,90.000000,bottom
D_37,1n4148 sod-323,D_SOD-323_HandSoldering,266.621700,-156.609120,90.000000,bottom
D_38,1n4148 sod-323,D_SOD-323_HandSoldering,285.671700,-156.609120,90.000000,bottom
D_39,1n4148 sod-323,D_SOD-323_HandSoldering,304.721700,-156.609120,90.000000,bottom
D_40,1n4148 sod-323,D_SOD-323_HandSoldering,323.771700,-156.609120,90.000000,bottom
D_41,1n4148 sod-323,D_SOD-323_HandSoldering,347.234200,-156.584120,90.000000,bottom
D_42,1n4148 sod-323,D_SOD-323_HandSoldering,85.496700,-175.684120,90.000000,bottom
D_43,1n4148 sod-323,D_SOD-323_HandSoldering,104.546700,-175.684120,90.000000,bottom
D_44,1n4148 sod-323,D_SOD-323_HandSoldering,123.596700,-175.684120,90.000000,bottom
D_45,1n4148 sod-323,D_SOD-323_HandSoldering,142.646700,-174.775000,90.000000,bottom
D_46,1n4148 sod-323,D_SOD-323_HandSoldering,161.696700,-175.684120,90.000000,bottom
D_47,1n4148 sod-323,D_SOD-323_HandSoldering,180.746700,-175.684120,90.000000,bottom
D_48,1n4148 sod-323,D_SOD-323_HandSoldering,199.796700,-175.684120,90.000000,bottom
D_49,1n4148 sod-323,D_SOD-323_HandSoldering,218.846700,-174.550000,90.000000,bottom
