Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_0,1n4148,D_SOD-123,80.684200,-118.534120,90.000000,bottom
D_1,1n4148,D_SOD-123,99.734200,-118.534120,90.000000,bottom
D_2,1n4148,D_SOD-123,118.784200,-118.534120,90.000000,bottom
D_3,1n4148,D_SOD-123,137.834200,-118.534120,90.000000,bottom
D_4,1n4148,D_SOD-123,156.884200,-118.534120,90.000000,bottom
D_5,1n4148,D_SOD-123,175.934200,-118.534120,90.000000,bottom
D_6,1n4148,D_SOD-123,194.984200,-118.534120,90.000000,bottom
D_7,1n4148,D_SOD-123,214.034200,-118.534120,90.000000,bottom
D_8,1n4148,D_SOD-123,233.084200,-118.534120,90.000000,bottom
D_9,1n4148,D_SOD-123,252.134200,-118.534120,90.000000,bottom
D_10,1n4148,D_SOD-123,271.184200,-118.534120,90.000000,bottom
D_11,1n4148,D_SOD-123,290.234200,-118.534120,90.000000,bottom
D_12,1n4148,D_SOD-123,309.284200,-118.534120,90.000000,bottom
D_13,1n4148,D_SOD-123,347.384200,-118.534120,90.000000,bottom
D_14,1n4148,D_SOD-123,90.359200,-137.634120,90.000000,bottom
D_15,1n4148,D_SOD-123,109.409200,-137.634120,90.000000,bottom
D_16,1n4148,D_SOD-123,128.459200,-137.634120,90.000000,bottom
D_17,1n4148,D_SOD-123,147.509200,-137.634120,90.000000,bottom
D_18,1n4148,D_SOD-123,166.559200,-137.634120,90.000000,bottom
D_19,1n4148,D_SOD-123,185.609200,-137.634120,90.000000,bottom
D_20,1n4148,D_SOD-123,204.659200,-137.634120,90.000000,bottom
D_21,1n4148,D_SOD-123,223.709200,-137.634120,90.000000,bottom
D_22,1n4148,D_SOD-123,242.759200,-137.634120,90.000000,bottom
D_23,1n4148,D_SOD-123,261.809200,-137.634120,90.000000,bottom
D_24,1n4148,D_SOD-123,280.859200,-137.634120,90.000000,bottom
D_25,1n4148,D_SOD-123,299.909200,-137.634120,90.000000,bottom
D_26,1n4148,D_SOD-123,318.959200,-137.634120,90.000000,bottom
D_27,1n4148,D_SOD-123,321.489000,-137.634000,90.000000,bottom
D_28,1n4148,D_SOD-123,85.646700,-156.609120,90.000000,bottom
D_29,1n4148,D_SOD-123,114.221700,-156.609120,90.000000,bottom
D_30,1n4148,D_SOD-123,133.271700,-156.609120,90.000000,bottom
D_31,1n4148,D_SOD-123,152.321700,-156.609120,90.000000,bottom
D_32,1n4148,D_SOD-123,171.371700,-156.609120,90.000000,bottom
D_33,1n4148,D_SOD-123,190.421700,-156.609120,90.000000,bottom
D_34,1n4148,D_SOD-123,209.471700,-156.609120,90.000000,bottom
D_35,1n4148,D_SOD-123,228.521700,-156.609120,90.000000,bottom
D_36,1n4148,D_SOD-123,247.571700,-156.609120,90.000000,bottom
D_37,1n4148,D_SOD-123,266.621700,-156.609120,90.000000,bottom
D_38,1n4148,D_SOD-123,285.671700,-156.609120,90.000000,bottom
D_39,1n4148,D_SOD-123,304.721700,-156.609120,90.000000,bottom
D_40,1n4148,D_SOD-123,325.700000,-160.750000,270.000000,bottom
D_41,1n4148,D_SOD-123,347.234200,-156.584120,90.000000,bottom
D_42,1n4148,D_SOD-123,88.617000,-178.140000,0.000000,bottom
D_43,1n4148,D_SOD-123,104.546700,-173.350000,90.000000,bottom
D_44,1n4148,D_SOD-123,123.596700,-173.350000,90.000000,bottom
D_45,1n4148,D_SOD-123,142.646700,-173.350000,90.000000,bottom
D_46,1n4148,D_SOD-123,161.696700,-173.350000,90.000000,bottom
D_47,1n4148,D_SOD-123,180.670000,-173.350000,90.000000,bottom
D_48,1n4148,D_SOD-123,199.796700,-173.350000,90.000000,bottom
D_49,1n4148,D_SOD-123,218.846700,-173.350000,90.000000,bottom
D_50,1n4148,D_SOD-123,237.896700,-173.350000,90.000000,bottom
D_51,1n4148,D_SOD-123,256.946700,-173.350000,90.000000,bottom
D_52,1n4148,D_SOD-123,275.996700,-175.684120,90.000000,bottom
D_53,1n4148,D_SOD-123,295.046700,-175.684120,90.000000,bottom
D_54,1n4148,D_SOD-123,321.784200,-175.684120,90.000000,bottom
D_55,1n4148,D_SOD-123,347.434200,-175.684120,90.000000,bottom
D_56,1n4148,D_SOD-123,366.414200,-172.494120,90.000000,bottom
D_57,1n4148,D_SOD-123,369.180000,-172.494120,90.000000,bottom
D_58,1n4148,D_SOD-123,88.000000,-191.400000,0.000000,bottom
