Comment,Designator,Footprint,LCSC
"Diode SOD-323","D_0,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D_8,D_9,D_10,D_11,D_12,D_13,D_14,D_15,D_16,D_17,D_18,D_19,D_20,D_21,D_22,D_23,D_24,D_25,D_26,D_27,D_28,D_29,D_30,D_31,D_32,D_33,D_34,D_35,D_36,D_37,D_38,D_39,D_40,D_41,D_42,D_43,D_44,D_45,D_46,D_47,D_48,D_49,D_50,D_51,D_52,D_53,D_54,D_55,D_56,D_57,D_58,D_59,D_60,D_61,D_62,D_63,D_64,D_65,D_66,D_67,D_68,D_69,D_70,D_71,D_72,D_73,D_74,D_75","Diode_SMD:D_SOD-323_HandSoldering",""
"MountingHole","H1,H2,H3,H4,H5,H6","MountingHole:MountingHole_2.2mm_M2",""
"KEYSW","K_0,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_14,K_15,K_17,K_18,K_19,K_20,K_21,K_22,K_23,K_24,K_25,K_26,K_27,K_28,K_30,K_31,K_33,K_34,K_35,K_36,K_37,K_38,K_39,K_40,K_41,K_42,K_43,K_44,K_45,K_46,K_48,K_49,K_50,K_51,K_52,K_53,K_54,K_55,K_56,K_57,K_58,K_60,K_61,K_62,K_69,K_70,K_71,K_72,K_73,K_74,K_75","MX_Only:MXOnly-1U-NoLED",""
"KEYSW","K_13","MX_Only:MXOnly-2U-NoLED",""
"KEYSW","K_16","MX_Only:MXOnly-1.5U-NoLED",""
"KEYSW","K_29","MX_Only:MXOnly-ISO-ROTATED-ReversedStabilizers-NoLED",""
"KEYSW","K_32,K_59,K_67","MX_Only:MXOnly-1.75U-NoLED",""
"KEYSW","K_47,K_63,K_64,K_65","MX_Only:MXOnly-1.25U-NoLED",""
"KEYSW","K_66,K_68","MX_Only:MXOnly-2.25U-ReversedStabilizers-NoLED",""
"Pico","U1","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH",""
